Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945153606,3900,3900,3897,3899,3900,3900,3900,3900,8,12,8,8,11.538461685180664,16.666667938232422,8,8,10809.134704589844,27194.319091796875,13843.1435546875,4048.22119140625,33360302080,2147479552,6751064064,0
199,1771945153606,3900,3900,3897,3899,3900,3900,3900,3900,8,12,8,8,11.538461685180664,16.666667938232422,8,8,10809.135925292969,27194.32061767578,13843.1435546875,4048.22119140625,33360302080,2147479552,6751064064,0
199,1771945153806,3900,3900,3897,3899,3900,3900,3900,3900,15.000000953674316,20,20,10,15.000000953674316,15.000000953674316,20,15.789472579956055,10809.387268066406,27195.319885253906,13843.75927734375,4048.22119140625,33360302080,2147479552,6758690816,0
200,1771945154006,3900,3900,3897,3899,3900,3900,3900,3900,15.000000953674316,20,20,10,15.000000953674316,15.000000953674316,20,15.789472579956055,10809.6650390625,27197.29119873047,13845.299743652344,4048.22119140625,33360302080,2147479552,6789083136,0
200,1771945154206,3900,3900,3897,3899,3900,3900,3900,3900,7.692307949066162,10.256410598754883,15.000000953674316,17.073171615600586,72.5,9.756096839904785,7.692307949066162,19.51219367980957,10809.934997558594,27201.148864746094,13848.747863769531,4048.22119140625,33360302080,2147479552,6799708160,0
200,1771945154406,3900,3900,3897,3899,3900,3900,3900,3900,0,4.761904716491699,0,0,100,0,0,0,10810.176330566406,27204.659545898438,13851.969299316406,4048.22119140625,33360302080,2147479552,6803890176,0
200,1771945154606,3900,3900,3897,3899,3900,3900,3900,3900,0,0,0,0,100,0,0,0,10810.402709960938,27207.547424316406,13854.572631835938,4048.22119140625,33360302080,2147479552,6804148224,0
200,1771945154807,3900,3900,3897,3899,3900,3900,3900,3900,100,0,0,0,0,0,4.761904716491699,0,10810.627014160156,27210.252685546875,13856.993896484375,4048.22119140625,33360302080,2147479552,6804365312,0
199,1771945155007,3900,3900,3897,3899,3900,3900,3900,3900,100,0,4.761904716491699,0,0,0,0,0,10810.852905273438,27213.42498779297,13859.881042480469,4048.22119140625,33360302080,2147479552,6804623360,0
200,1771945155207,3900,3900,3897,3899,3900,3900,3900,3900,100,4.761904716491699,0,0,0,0,0,0,10811.078857421875,27217.157470703125,13863.329406738281,4048.22119140625,33360302080,2147479552,6802812928,0
200,1771945155407,3900,3900,3897,3899,3900,3900,3900,3900,100,0,0,0,0,0,0,0,10811.302978515625,27220.377685546875,13866.264770507813,4048.22119140625,33360302080,2147479552,6802812928,0
200,1771945155607,3900,3900,3897,3899,3900,3900,3900,3900,100,0,4.761904716491699,0,0,0,0,4.761904716491699,10811.527221679688,27223.86553955078,13869.468139648438,4048.22119140625,33360302080,2147479552,6804361216,0
200,1771945155807,3900,3900,3897,3899,3900,3900,3900,3900,100,0,0,0,0,0,0,0,10811.749450683594,27226.867736816406,13872.187072753906,4048.22119140625,33360302080,2147479552,6804361216,0
200,1771945156007,3900,3900,3897,3899,3900,3900,3900,3900,100,13.636363983154297,0,0,0,0,0,0,10811.977294921875,27230.40997314453,13875.44140625,4048.22119140625,33360302080,2147479552,6804361216,0
200,1771945156207,3900,3900,3897,3899,3900,3900,3900,3900,100,0,0,0,0,0,0,0,10812.199279785156,27234.26141357422,13879.009704589844,4048.22119140625,33360302080,2147479552,6804660224,0
200,1771945156407,3900,3900,3897,3899,3900,3900,3900,3900,100,0,0,0,4.761904716491699,4.761904716491699,0,0,10812.427856445313,27237.8271484375,13882.288635253906,4048.22119140625,33360302080,2147479552,6805688320,0
200,1771945156607,3900,3900,3897,3899,3900,3900,3900,3900,100,0,0,4.761904716491699,0,0,0,0,10812.652282714844,27241.21990966797,13885.396362304688,4048.22119140625,33360302080,2147479552,6806163456,0
200,1771945156808,3900,3900,3897,3899,3900,3900,3900,3900,100,0,0,0,0,0,0,4.761904716491699,10812.874755859375,27244.475341796875,13888.367492675781,4048.22119140625,33360302080,2147479552,6806163456,0
200,1771945157008,3900,3900,3897,3899,3900,3900,3900,3900,100,0,0,0,0,0,0,4.761904716491699,10813.097412109375,27248.27947998047,13891.887756347656,4048.22119140625,33360302080,2147479552,6806163456,0
200,1771945157208,3900,3900,3897,3899,3900,3900,3900,3900,100,0,0,0,0,0,0,0,10813.319885253906,27251.682556152344,13895.0068359375,4048.22119140625,33360302080,2147479552,6806421504,0
